,Timestamp,Acc-x, Acc-y, Acc-z,Time
6539,1640237460859,-2.471535,3.6596923,7.070255,2021:12:23:14:31:00.859
6540,1640237460885,-1.4672306,2.3846989,9.701688,2021:12:23:14:31:00.885
6541,1640237460902,-0.28446308,3.7267656,10.922783,2021:12:23:14:31:00.902
6542,1640237460916,-1.2702025,4.131003,7.579294,2021:12:23:14:31:00.916
6543,1640237460935,-1.7984055,4.414867,7.277464,2021:12:23:14:31:00.935
6544,1640237460955,-1.1833664,4.1453757,9.644795,2021:12:23:14:31:00.955
6545,1640237460982,-1.1977392,4.3525844,8.008683,2021:12:23:14:31:00.982
6546,1640237461001,-1.116293,3.5057828,9.40944,2021:12:23:14:31:01.001
6547,1640237461016,0.14312984,2.3266084,8.876446,2021:12:23:14:31:01.016
6548,1640237461037,-0.0011977393,2.6541903,8.390762,2021:12:23:14:31:01.037
6549,1640237461066,0.21499419,3.6788561,9.258525,2021:12:23:14:31:01.066
6550,1640237461080,0.5228132,4.612494,10.512558,2021:12:23:14:31:01.080
6551,1640237461099,0.32099414,3.3614552,6.819927,2021:12:23:14:31:01.099
6552,1640237461117,-0.17906202,2.0475352,10.277202,2021:12:23:14:31:01.117
6553,1640237461139,0.22936708,4.1549573,8.33387,2021:12:23:14:31:01.139
6554,1640237461157,-0.5108358,3.7513194,9.522626,2021:12:23:14:31:01.157
6555,1640237461182,-0.09701688,3.8183928,8.8387165,2021:12:23:14:31:01.182
6556,1640237461198,0.07605644,3.1255007,11.493506,2021:12:23:14:31:01.198
6557,1640237461217,0.4790957,4.319048,7.47569,2021:12:23:14:31:01.217
6558,1640237461233,0.38327658,3.8375566,2.9434443,2021:12:23:14:31:01.233
6559,1640237461255,0.5994685,1.561852,12.333121,2021:12:23:14:31:01.255
6560,1640237461273,0.6234233,3.8471386,13.347008,2021:12:23:14:31:01.273
6561,1640237461299,-0.15510723,2.8847551,7.414605,2021:12:23:14:31:01.299
6562,1640237461316,-0.11198862,3.2315006,8.739305,2021:12:23:14:31:01.316
6563,1640237461338,-0.3329715,3.6069918,9.729835,2021:12:23:14:31:01.338
6564,1640237461354,-0.31859866,5.0502677,7.956582,2021:12:23:14:31:01.354
6565,1640237461381,0.39764944,3.789647,8.800988,2021:12:23:14:31:01.381
6566,1640237461398,-0.10240671,2.6104727,12.403788,2021:12:23:14:31:01.398
6567,1640237461416,0.13833888,4.3238387,-2.875772,2021:12:23:14:31:01.416
6568,1640237461435,0.19583037,-0.9743609,14.992702,2021:12:23:14:31:01.435
6569,1640237461465,-1.1498297,10.213122,16.676723,2021:12:23:14:31:01.465
6570,1640237461483,1.074971,1.667253,2.4721339,2021:12:23:14:31:01.483
6571,1640237461498,-0.6887001,4.5837483,2.5661564,2021:12:23:14:31:01.498
6572,1640237461517,1.584609,2.273908,6.140809,2021:12:23:14:31:01.517
6573,1640237461538,0.9551971,3.0584273,10.597597,2021:12:23:14:31:01.538
6574,1640237461559,-0.4239997,3.293783,8.07935,2021:12:23:14:31:01.559
6575,1640237461587,-0.6647453,3.7363477,14.002769,2021:12:23:14:31:01.587
